epoch,train_loss,valid_loss,val_mrr
1,1.186662976280786,1.0089899329468608,0.6713058074350806
2,1.0150159456534311,0.9749080925248563,0.6748304237491173
3,0.9828226848039776,0.9446723782457411,0.6764764649012357
4,0.9430675304029137,0.9375582276843488,0.6813661276105587
5,0.9084955172147602,0.9279272183775902,0.681127411764597
6,0.8804027118021622,0.9305053018033504,0.6830678780156493
7,0.8561818929156289,0.8972451090812683,0.6821742269310876
8,0.835023075225763,0.8949505146592855,0.6840383535661242
9,0.8069997079437599,0.8764163102023304,0.6846599796169144
10,0.7951472639106214,0.867592103779316,0.68729094484639
11,0.772745470283553,0.8816064209677279,0.6836879283042803
12,0.5952975545660593,0.595387757057324,0.6668959279396741
13,0.4627837114385329,0.5339285349473357,0.6574215731051883
14,0.4132841730606742,0.4874570907559246,0.6628822192937347
15,0.3791244644089602,0.45663445349782705,0.659527833777944
16,0.3584841368137859,0.4383098101243377,0.6596030824816982
17,0.34017323958687484,0.42950878757983446,0.6612031841062374
18,0.33080355552374385,0.42290205392055213,0.6610103350603721
19,0.31978174549294636,0.4178183434996754,0.6614748939875736
20,0.31516064048628323,0.41512968949973583,0.6626884247905727
