epoch,train_loss,valid_loss,val_mrr
1,0.3219739708583802,0.07442585122771561,0.6232129887408207
2,0.2336796002346091,0.03136797854676843,0.6546495892836586
3,0.10044630589254666,0.031552048298181035,0.6522089761230861
4,0.09249281554366462,0.03281708482245449,0.6509645118967666
